job_name	cron_schedule
job00001	0 */2 * * *
job00002	0 0 * * *
job00003	0-59/15 * * * *
job00004	0 17 * * *
job00005	0 * * * *
job00006	2-59/10 * * * *
job00007	*/15 * * * *
job00008	0 * * * *
job00009	*/5 * * * *
job00010	*/5 * * * *
job00011	0 0 * * *
job00012	*/15 * * * *
job00013	0 19 * * *
job00014	15 * * * *
job00015	*/30 * * * *
job00016	7 * * * *
job00017	*/5 * * * *
job00018	15 2 * * 1
job00019	0 * * * *
job00020	0 23 * * *
job00021	*/15 * * * *
job00022	*/5 * * * *
job00023	*/15 * * * *
job00024	0 * * * *
job00025	2-59/15 * * * *
job00026	0 7 * * *
job00027	3-59/10 * * * *
job00028	*/5 * * * *
job00029	0 6 1 * *
job00030	*/15 * * * *
job00031	0 6 * * *
job00032	*/15 * * * *
job00033	1 0-23 * * *
job00034	*/15 * * * *
job00035	*/5 * * * *
job00036	0 1 1 * *
job00037	1 6,18 * * *
job00038	2-59/15 * * * *
job00039	0 5 * * *
job00040	*/15 * * * *
job00041	*/5 * * * *
job00042	0 * * * *
job00043	0 9 1 * *
job00044	15 15 * * 1-5
job00045	*/15 * * * *
job00046	0 * * * *
job00047	*/30 * * * *
job00048	*/15 * * * *
job00049	*/30 * * * *
job00050	0 0 * * *
job00051	*/15 * * * *
job00052	*/5 * * * *
job00053	*/30 * * * *
job00054	*/5 * * * *
job00055	0 * * * *
job00056	0 * * * *
job00057	*/30 * * * *
job00058	*/15 * * * *
job00059	*/15 * * * *
job00060	3,18,33,48 * * * *
job00061	*/15 * * * *
job00062	0 * * * *
job00063	0 */12 * * *
job00064	*/15 * * * *
job00065	*/10 * * * 0-6
job00066	0 7 * * *
job00067	*/5 * * * *
job00068	*/15 * * * *
job00069	0 6 1 * *
job00070	*/15 * * * *
job00071	*/15 * * * *
job00072	*/15 * * * *
job00073	*/15 * * * *
job00074	*/60 * * * *
job00075	3 5-10 * * *
job00076	*/15 * * * *
job00077	*/10 * * * *
job00078	*/15 * * * *
job00079	*/15 * * * *
job00080	*/15 * * * *
job00081	0 16 * * *
job00082	*/15 * * * *
job00083	0 10 * * *
job00084	*/15 * * * *
job00085	*/15 * * * *
job00086	30 * * * *
job00087	*/15 * * * *
job00088	*/15 * * * *
job00089	*/15 * * * *
job00090	*/5 * * * *
job00091	0 * * * *
job00092	*/15 * * * *
job00093	0 23 * * *
job00094	* * * * *
job00095	0 * * * *
job00096	0 0 * * *
job00097	* * * * *
job00098	*/15 16-18 * * *
job00099	*/15 * * * *
job00100	*/15 * * * *
job00101	0 */4 * * *
job00102	*/30 * * * *
job00103	0 * * * *
job00104	18 * * * *
job00105	*/15 * * * *
job00106	*/15 * * * *
job00107	*/15 * * * *
job00108	*/10 * * * *
job00109	*/15 * * * *
job00110	*/15 * * * *
job00111	0 2 1 * *
job00112	0 * * * *
job00113	0 23 * * *
job00114	*/10 * * * *
job00115	*/15 * * * *
job00116	4-59/5 * * * *
job00117	*/15 * * * *
job00118	*/15 * * * *
job00119	*/15 * * * *
job00120	0 * * * *
job00121	0 9 * * *
job00122	*/15 * * * *
job00123	* * * * *
job00124	0 5 * * 1
job00125	*/30 * * * *
job00126	*/15 * * * *
job00127	*/15 * * * *
job00128	55 */4 * * *
job00129	0 * * * *
job00130	*/15 * * * *
job00131	0 1 * * *
job00132	*/15 * * * *
job00133	3 * * * *
job00134	0 * * * *
job00135	30 5 * * 1
job00136	*/15 * * * *
job00137	10 14 * * 1-5
job00138	0 0 1 * *
job00139	*/15 * * * *
job00140	*/15 * * * *
job00141	*/15 * * * *
job00142	33 * * * *
job00143	50 1 * * *
job00144	0 6 * * 1
job00145	*/30 * * * *
job00146	*/10 * * * *
job00147	15 * * * *
job00148	*/30 * * * *
job00149	0 0 * * *
job00150	*/4 * * * *
job00151	0 6 * * *
job00152	*/15 9-21 * * 0,6
job00153	*/5 * * * *
job00154	56 3 * * *
job00155	*/30 5-23 * * *
job00156	0 * * * *
job00157	*/5 * * * *
job00158	*/5 * * * *
job00159	*/5 * * * *
job00160	*/5 * * * *
job00161	0 6 * * *
job00162	5 9 * * *
job00163	*/15 * * * *
job00164	*/5 * * * *
job00165	* 6-21 * * *
job00166	* 8-17 * * 1-5
job00167	0 5 1 * *
job00168	*/15 * * * *
job00169	*/5 * * * *
job00170	*/15 * * * *
job00171	*/15 * * * *
job00172	*/15 * * * *
job00173	0 0 * * *
job00174	0 * * * *
job00175	*/30 * * * *
job00176	0 * * * *
job00177	*/15 * * * *
job00178	*/5 * * * *
job00179	*/15 * * * *
job00180	*/15 * * * *
job00181	*/15 * * * *
job00182	0 * * * *
job00183	0 8 * * *
job00184	*/15 * * * *
job00185	*/15 * * * *
job00186	*/15 * * * *
job00187	*/5 * * * *
job00188	0 */3 * * *
job00189	*/15 * * * *
job00190	*/15 * * * *
job00191	*/12 * * * *
job00192	*/10 * * * *
job00193	0 * * * *
job00194	*/15 * * * *
job00195	2 */4 * * *
job00196	*/15 * * * *
job00197	*/15 * * * *
job00198	1-59/15 * * * *
job00199	30 5 * * 1
job00200	*/15 * * * *
job00201	*/15 * * * *
job00202	0 * * * *
job00203	*/10 * * * *
job00204	*/10 0-20 * * 6
job00205	*/15 * * * *
